"","X","City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal"
"12186",12303,"Athens",2004,"Equestrian","Dressage","individual","FERRER-SALAT, Beatriz","Women","ESP","Spain","X","Bronze"
"12187",12304,"Athens",2004,"Equestrian","Dressage","team","KEMMER, Heike","Women","GER","Germany","X","Gold"
"12188",12305,"Athens",2004,"Equestrian","Dressage","team","JIMENEZ, Juan Antonio","Men","ESP","Spain","X","Silver"
"12189",12306,"Athens",2004,"Equestrian","Dressage","team","SALZGEBER, Ulla","Women","GER","Germany","X","Gold"
"12190",12307,"Athens",2004,"Equestrian","Dressage","team","SOTO, Rafael","Men","ESP","Spain","X","Silver"
"12191",12308,"Athens",2004,"Equestrian","Dressage","team","MCDONALD, Debbie","Women","USA","United States","X","Bronze"
"12192",12309,"Athens",2004,"Equestrian","Dressage","individual","SALZGEBER, Ulla","Women","GER","Germany","X","Silver"
"12193",12310,"Athens",2004,"Equestrian","Dressage","team","SCHMIDT, Hubertus","Men","GER","Germany","X","Gold"
"12194",12311,"Athens",2004,"Equestrian","Dressage","team","DOVER, Robert","Men","USA","United States","X","Bronze"
"12195",12312,"Athens",2004,"Equestrian","Dressage","individual","VAN GRUNSVEN, Anky","Women","NED","Netherlands","X","Gold"
"12196",12313,"Athens",2004,"Equestrian","Dressage","team","RAMBLA, Ignacio","Men","ESP","Spain","X","Silver"
"12197",12314,"Athens",2004,"Equestrian","Dressage","team","SCHAUDT, Martin","Men","GER","Germany","X","Gold"
"12198",12315,"Athens",2004,"Equestrian","Dressage","team","WILCOX, Lisa","Women","USA","United States","X","Bronze"
"12199",12316,"Athens",2004,"Equestrian","Dressage","team","FERRER-SALAT, Beatriz","Women","ESP","Spain","X","Silver"
"12200",12317,"Athens",2004,"Equestrian","Eventing","individual","LAW, Leslie","Men","GBR","United Kingdom","X","Gold"
"12201",12318,"Athens",2004,"Equestrian","Eventing","team","TOUZAINT, Nicolas","Men","FRA","France","X","Gold"
"12202",12319,"Athens",2004,"Equestrian","Eventing","team","TEULERE, Jean","Men","FRA","France","X","Gold"
"12203",12320,"Athens",2004,"Equestrian","Eventing","team","KING, Mary","Women","GBR","United Kingdom","X","Silver"
"12204",12321,"Athens",2004,"Equestrian","Eventing","team","WILLIAMS, John","Men","USA","United States","X","Bronze"
"12205",12322,"Athens",2004,"Equestrian","Eventing","team","FUNNELL, Philippa","Women","GBR","United Kingdom","X","Silver"
"12206",12323,"Athens",2004,"Equestrian","Eventing","individual","FUNNELL, Philippa","Women","GBR","United Kingdom","X","Bronze"
"12207",12324,"Athens",2004,"Equestrian","Eventing","team","CHIACCHIA, Darren","Men","USA","United States","X","Bronze"
"12208",12325,"Athens",2004,"Equestrian","Eventing","team","BOITEAU, Arnaud","Men","FRA","France","X","Gold"
"12209",12326,"Athens",2004,"Equestrian","Eventing","team","BRAKEWELL, Jeanette","Women","GBR","United Kingdom","X","Silver"
"12210",12327,"Athens",2004,"Equestrian","Eventing","team","TRYON, Amy","Women","USA","United States","X","Bronze"
"12211",12328,"Athens",2004,"Equestrian","Eventing","team","RICHARDS, Julie","Women","USA","United States","X","Bronze"
"12212",12329,"Athens",2004,"Equestrian","Eventing","team","FOX-PITT, William","Men","GBR","United Kingdom","X","Silver"
"12213",12330,"Athens",2004,"Equestrian","Eventing","team","LAW, Leslie","Men","GBR","United Kingdom","X","Silver"
"12214",12331,"Athens",2004,"Equestrian","Eventing","team","LYARD, Cedric","Men","FRA","France","X","Gold"
"12215",12332,"Athens",2004,"Equestrian","Eventing","individual","SEVERSON, Kimberly","Women","USA","United States","X","Silver"
"12216",12333,"Athens",2004,"Equestrian","Eventing","team","COURREGES, Didier","Men","FRA","France","X","Gold"
"12217",12334,"Athens",2004,"Equestrian","Eventing","team","SEVERSON, Kimberly","Women","USA","United States","X","Bronze"
"12218",12335,"Athens",2004,"Equestrian","Jumping","team","ERIKSSON, Peter","Men","SWE","Sweden","X","Silver"
"12219",12336,"Athens",2004,"Equestrian","Jumping","team","KAPPLER, Chris","Men","USA","United States","X","Gold"
"12220",12337,"Athens",2004,"Equestrian","Jumping","team","MADDEN, Beezie","Women","USA","United States","X","Gold"
"12221",12338,"Athens",2004,"Equestrian","Jumping","team","WARD, Mclain","Men","USA","United States","X","Gold"
"12222",12339,"Athens",2004,"Equestrian","Jumping","team","AHLMANN, Christian","Men","GER","Germany","X","Bronze"
"12223",12340,"Athens",2004,"Equestrian","Jumping","individual","KAPPLER, Chris","Men","USA","United States","X","Silver"
"12224",12341,"Athens",2004,"Equestrian","Jumping","team","BENGTSSON, Rolf-Goran","Men","SWE","Sweden","X","Silver"
"12225",12342,"Athens",2004,"Equestrian","Jumping","team","BECKER, Otto","Men","GER","Germany","X","Bronze"
"12226",12343,"Athens",2004,"Equestrian","Jumping","team","BARYARD, Malin","Women","SWE","Sweden","X","Silver"
"12227",12344,"Athens",2004,"Equestrian","Jumping","individual","PESSOA, Rodrigo","Men","BRA","Brazil","X","Gold"
"12228",12345,"Athens",2004,"Equestrian","Jumping","team","WYLDE, Peter","Men","USA","United States","X","Gold"
"12229",12346,"Athens",2004,"Equestrian","Jumping","individual","KUTSCHER, Marco","Men","GER","Germany","X","Bronze"
"12230",12347,"Athens",2004,"Equestrian","Jumping","team","KUTSCHER, Marco","Men","GER","Germany","X","Bronze"
"12231",12348,"Athens",2004,"Equestrian","Jumping","team","FREDERICSON, Peder","Men","SWE","Sweden","X","Silver"
"12232",12349,"Athens",2004,"Fencing","Fencing","sabre team","TARANTINO, Luigi","Men","ITA","Italy","M","Silver"
"12233",12350,"Athens",2004,"Fencing","Fencing","foil team","GANEEV, Renal","Men","RUS","Russia","M","Bronze"
"12234",12351,"Athens",2004,"Fencing","Fencing","épée team","OBRY, Hughes","Men","FRA","France","M","Gold"
"12235",12352,"Athens",2004,"Fencing","Fencing","foil individual","CASSARA, Andrea","Men","ITA","Italy","M","Bronze"
"12236",12353,"Athens",2004,"Fencing","Fencing","épée individual","KOLOBKOV, Pavel","Men","RUS","Russia","M","Bronze"
"12237",12354,"Athens",2004,"Fencing","Fencing","épée team","FLESSEL-COLOVIC, Laura","Women","FRA","France","W","Bronze"
"12238",12355,"Athens",2004,"Fencing","Fencing","sabre team","CHARIKOV, Serguei","Men","RUS","Russia","M","Bronze"
"12239",12356,"Athens",2004,"Fencing","Fencing","sabre team","DIATCHENKO, Alexei","Men","RUS","Russia","M","Bronze"
"12240",12357,"Athens",2004,"Fencing","Fencing","épée team","HEIDEMANN, Britta","Women","GER","Germany","W","Silver"
"12241",12358,"Athens",2004,"Fencing","Fencing","sabre individual","TRETIAK, Vladislav","Men","UKR","Ukraine","M","Bronze"
"12242",12359,"Athens",2004,"Fencing","Fencing","foil team","POZDNIAKOV, Viatcheslav","Men","RUS","Russia","M","Bronze"
"12243",12360,"Athens",2004,"Fencing","Fencing","foil team","SANZO, Salvatore","Men","ITA","Italy","M","Gold"
"12244",12361,"Athens",2004,"Fencing","Fencing","épée team","IMRE, Geza","Men","HUN","Hungary","M","Silver"
"12245",12362,"Athens",2004,"Fencing","Fencing","sabre individual","JACOBSON, Sada","Women","USA","United States","W","Bronze"
"12246",12363,"Athens",2004,"Fencing","Fencing","épée team","LOGOUNOVA, Tatiana","Women","RUS","Russia","W","Gold"
"12247",12364,"Athens",2004,"Fencing","Fencing","épée team","DANINTHE, Sarah","Women","FRA","France","W","Bronze"
"12248",12365,"Athens",2004,"Fencing","Fencing","sabre individual","NEMCSIK, Zsolt","Men","HUN","Hungary","M","Silver"
"12249",12366,"Athens",2004,"Fencing","Fencing","épée team","ERMAKOVA, Oxana","Women","RUS","Russia","W","Gold"
"12250",12367,"Athens",2004,"Fencing","Fencing","épée team","BOISSE, Eric","Men","FRA","France","M","Gold"
"12251",12368,"Athens",2004,"Fencing","Fencing","sabre individual","MONTANO, Aldo","Men","ITA","Italy","M","Gold"
"12252",12369,"Athens",2004,"Fencing","Fencing","épée individual","WANG, Lei","Men","CHN","China","M","Silver"
"12253",12370,"Athens",2004,"Fencing","Fencing","épée individual","NISIMA, Maureen","Women","FRA","France","W","Bronze"
"12254",12371,"Athens",2004,"Fencing","Fencing","foil team","WU, Hanxiong","Men","CHN","China","M","Silver"
"12255",12372,"Athens",2004,"Fencing","Fencing","sabre team","PILLET, Julien","Men","FRA","France","M","Gold"
"12256",12373,"Athens",2004,"Fencing","Fencing","foil team","VANNI, Simone","Men","ITA","Italy","M","Gold"
"12257",12374,"Athens",2004,"Fencing","Fencing","sabre individual","ZAGUNIS, Mariel","Women","USA","United States","W","Gold"
"12258",12375,"Athens",2004,"Fencing","Fencing","foil team","MOLTCHAN, Youri","Men","RUS","Russia","M","Bronze"
"12259",12376,"Athens",2004,"Fencing","Fencing","foil individual","VEZZALI, Valentina","Women","ITA","Italy","W","Gold"
"12260",12377,"Athens",2004,"Fencing","Fencing","épée team","KOVACS, Ivan","Men","HUN","Hungary","M","Silver"
"12261",12378,"Athens",2004,"Fencing","Fencing","épée team","KIRALY PICOT, Hajnalka","Women","FRA","France","W","Bronze"
"12262",12379,"Athens",2004,"Fencing","Fencing","sabre individual","TAN, Xue","Women","CHN","China","W","Silver"
"12263",12380,"Athens",2004,"Fencing","Fencing","foil team","YE, Chong","Men","CHN","China","M","Silver"
"12264",12381,"Athens",2004,"Fencing","Fencing","sabre team","YAKIMENKO, Alexey","Men","RUS","Russia","M","Bronze"
"12265",12382,"Athens",2004,"Fencing","Fencing","épée team","AZNAVOURIAN, Karina","Women","RUS","Russia","W","Gold"
"12266",12383,"Athens",2004,"Fencing","Fencing","foil team","DONG, Zhaozhi","Men","CHN","China","M","Silver"
"12267",12384,"Athens",2004,"Fencing","Fencing","épée team","SIVKOVA, Anna","Women","RUS","Russia","W","Gold"
"12268",12385,"Athens",2004,"Fencing","Fencing","épée team","JEANNET, Jerome","Men","FRA","France","M","Gold"
"12269",12386,"Athens",2004,"Fencing","Fencing","foil team","CASSARA, Andrea","Men","ITA","Italy","M","Gold"
"12270",12387,"Athens",2004,"Fencing","Fencing","épée team","FIEDLER, Joerg","Men","GER","Germany","M","Bronze"
"12271",12388,"Athens",2004,"Fencing","Fencing","épée team","BOCZKO, Gabor","Men","HUN","Hungary","M","Silver"
"12272",12389,"Athens",2004,"Fencing","Fencing","sabre team","MONTANO, Aldo","Men","ITA","Italy","M","Silver"
"12273",12390,"Athens",2004,"Fencing","Fencing","épée team","JEANNET, Fabrice","Men","FRA","France","M","Gold"
"12274",12391,"Athens",2004,"Fencing","Fencing","foil individual","SANZO, Salvatore","Men","ITA","Italy","M","Silver"
"12275",12392,"Athens",2004,"Fencing","Fencing","épée team","STRIGEL, Daniel","Men","GER","Germany","M","Bronze"
"12276",12393,"Athens",2004,"Fencing","Fencing","foil individual","GRUCHALA, Sylwia","Women","POL","Poland","W","Bronze"
"12277",12394,"Athens",2004,"Fencing","Fencing","foil team","WANG, Haibin","Men","CHN","China","M","Silver"
"12278",12395,"Athens",2004,"Fencing","Fencing","épée team","DUPLITZER, Imke","Women","GER","Germany","W","Silver"
"12279",12396,"Athens",2004,"Fencing","Fencing","épée team","NISIMA, Maureen","Women","FRA","France","W","Bronze"
"12280",12397,"Athens",2004,"Fencing","Fencing","épée individual","FISCHER, Marcel","Men","SUI","Switzerland","M","Gold"
"12281",12398,"Athens",2004,"Fencing","Fencing","foil individual","TRILLINI, Giovanna","Women","ITA","Italy","W","Silver"
"12282",12399,"Athens",2004,"Fencing","Fencing","foil team","NASSIBOULLINE, Rouslan","Men","RUS","Russia","M","Bronze"
"12283",12400,"Athens",2004,"Fencing","Fencing","épée team","SCHMID, Sven","Men","GER","Germany","M","Bronze"
"12284",12401,"Athens",2004,"Fencing","Fencing","sabre team","TOUYA, Damien","Men","FRA","France","M","Gold"
"12285",12402,"Athens",2004,"Fencing","Fencing","sabre team","PASTORE, Gianpiero","Men","ITA","Italy","M","Silver"
"12286",12403,"Athens",2004,"Fencing","Fencing","sabre team","TOUYA, Gael","Men","FRA","France","M","Gold"
"12287",12404,"Athens",2004,"Fencing","Fencing","épée individual","FLESSEL-COLOVIC, Laura","Women","FRA","France","W","Silver"
"12288",12405,"Athens",2004,"Fencing","Fencing","épée team","KULCSAR, Krisztian","Men","HUN","Hungary","M","Silver"
"12289",12406,"Athens",2004,"Fencing","Fencing","sabre team","POZDNYAKOV, Stanislav","Men","RUS","Russia","M","Bronze"
"12290",12407,"Athens",2004,"Fencing","Fencing","épée team","BOKEL, Claudia","Women","GER","Germany","W","Silver"
"12291",12408,"Athens",2004,"Fencing","Fencing","épée individual","NAGY, Timea","Women","HUN","Hungary","W","Gold"
"12292",12409,"Athens",2004,"Fencing","Fencing","foil individual","GUYART, Brice","Men","FRA","France","M","Gold"
"12293",12410,"Athens",2004,"Football","Football","football","MORETTI, Emiliano","Men","ITA","Italy","M","Bronze"
"12294",12411,"Athens",2004,"Football","Football","football","GIMENEZ, Pablo","Men","PAR","Paraguay","M","Silver"
"12295",12412,"Athens",2004,"Football","Football","football","HINGST, Ariane","Women","GER","Germany","W","Bronze"
"12296",12413,"Athens",2004,"Football","Football","football","GONZALEZ, Julio","Men","PAR","Paraguay","M","Silver"
"12297",12414,"Athens",2004,"Football","Football","football","FAWCETT, Joy","Women","USA","United States","W","Gold"
"12298",12415,"Athens",2004,"Football","Football","football","ESQUIVEL, Celso","Men","PAR","Paraguay","M","Silver"
"12299",12416,"Athens",2004,"Football","Football","football","MESTO, Giandomenico","Men","ITA","Italy","M","Bronze"
"12300",12417,"Athens",2004,"Football","Football","football","KELLY","Women","BRA","Brazil","W","Silver"
"12301",12418,"Athens",2004,"Football","Football","football","ROTTENBERG, Silke","Women","GER","Germany","W","Bronze"
"12302",12419,"Athens",2004,"Football","Football","football","SAVIOLA, Javier","Men","ARG","Argentina","M","Gold"
"12303",12420,"Athens",2004,"Football","Football","football","GONZALEZ, Luis","Men","ARG","Argentina","M","Gold"
"12304",12421,"Athens",2004,"Football","Football","football","RODRIGUEZ, Clemente Juan","Men","ARG","Argentina","M","Gold"
"12305",12422,"Athens",2004,"Football","Football","football","BACHOR, Isabell","Women","GER","Germany","W","Bronze"
"12306",12423,"Athens",2004,"Football","Football","football","DIAZ, Osvaldo","Men","PAR","Paraguay","M","Silver"
"12307",12424,"Athens",2004,"Football","Football","football","MINNERT, Sandra","Women","GER","Germany","W","Bronze"
"12308",12425,"Athens",2004,"Football","Football","football","CRISTIANE","Women","BRA","Brazil","W","Silver"
"12309",12426,"Athens",2004,"Football","Football","football","ROSELI","Women","BRA","Brazil","W","Silver"
"12310",12427,"Athens",2004,"Football","Football","football","JULIANA","Women","BRA","Brazil","W","Silver"
"12311",12428,"Athens",2004,"Football","Football","football","BURDISSO, Nicolas","Men","ARG","Argentina","M","Gold"
"12312",12429,"Athens",2004,"Football","Football","football","PINZI, Giampiero","Men","ITA","Italy","M","Bronze"
"12313",12430,"Athens",2004,"Football","Football","football","OMILADE, Navina","Women","GER","Germany","W","Bronze"
"12314",12431,"Athens",2004,"Football","Football","football","WIMBERSKY, Petra","Women","GER","Germany","W","Bronze"
"12315",12432,"Athens",2004,"Football","Football","football","TEVEZ, Carlos","Men","ARG","Argentina","M","Gold"
"12316",12433,"Athens",2004,"Football","Football","football","AYALA, Roberto","Men","ARG","Argentina","M","Gold"
"12317",12434,"Athens",2004,"Football","Football","football","MASCHERANO, Javier","Men","ARG","Argentina","M","Gold"
"12318",12435,"Athens",2004,"Football","Football","football","FORMIGA","Women","BRA","Brazil","W","Silver"
"12319",12436,"Athens",2004,"Football","Football","football","BAREIRO, Fredy","Men","PAR","Paraguay","M","Silver"
"12320",12437,"Athens",2004,"Football","Football","football","PRINZ, Birgit","Women","GER","Germany","W","Bronze"
"12321",12438,"Athens",2004,"Football","Football","football","WAMBACH, Abby","Women","USA","United States","W","Gold"
"12322",12439,"Athens",2004,"Football","Football","football","BOXX, Shannon","Women","USA","United States","W","Gold"
"12323",12440,"Athens",2004,"Football","Football","football","DONADEL, Marco","Men","ITA","Italy","M","Bronze"
"12324",12441,"Athens",2004,"Football","Football","football","GASBARRONI, Andrea","Men","ITA","Italy","M","Bronze"
"12325",12442,"Athens",2004,"Football","Football","football","DELGADO, Cesar","Men","ARG","Argentina","M","Gold"
"12326",12443,"Athens",2004,"Football","Football","football","WAGNER, Aly","Women","USA","United States","W","Gold"
"12327",12444,"Athens",2004,"Football","Football","football","ENCISO, Julio Cesar","Men","PAR","Paraguay","M","Silver"
"12328",12445,"Athens",2004,"Football","Football","football","CARDOZO, Jose","Men","PAR","Paraguay","M","Silver"
"12329",12446,"Athens",2004,"Football","Football","football","WUNDERLICH, Pia","Women","GER","Germany","W","Bronze"
"12330",12447,"Athens",2004,"Football","Football","football","MAYCON","Women","BRA","Brazil","W","Silver"
"12331",12448,"Athens",2004,"Football","Football","football","POHLERS, Conny","Women","GER","Germany","W","Bronze"
"12332",12449,"Athens",2004,"Football","Football","football","PIRLO, Andrea","Men","ITA","Italy","M","Bronze"
"12333",12450,"Athens",2004,"Football","Football","football","BENITEZ, Pedro","Men","PAR","Paraguay","M","Silver"
"12334",12451,"Athens",2004,"Football","Football","football","DANIELA","Women","BRA","Brazil","W","Silver"
"12335",12452,"Athens",2004,"Football","Football","football","PALOMBO, Angelo","Men","ITA","Italy","M","Bronze"
"12336",12453,"Athens",2004,"Football","Football","football","PELIZZOLI, Ivan","Men","ITA","Italy","M","Bronze"
"12337",12454,"Athens",2004,"Football","Football","football","DEL NERO, Simone","Men","ITA","Italy","M","Bronze"
"12338",12455,"Athens",2004,"Football","Football","football","TARPLEY, Lindsay","Women","USA","United States","W","Gold"
"12339",12456,"Athens",2004,"Football","Football","football","BARRETO, Diego","Men","PAR","Paraguay","M","Silver"
"12340",12457,"Athens",2004,"Football","Football","football","LINGOR, Renate","Women","GER","Germany","W","Bronze"
"12341",12458,"Athens",2004,"Football","Football","football","LUX, German","Men","ARG","Argentina","M","Gold"
"12342",12459,"Athens",2004,"Football","Football","football","PARLOW, Cindy","Women","USA","United States","W","Gold"
"12343",12460,"Athens",2004,"Football","Football","football","GAREFREKES, Kerstin","Women","GER","Germany","W","Bronze"
"12344",12461,"Athens",2004,"Football","Football","football","MEDINA, Nicolas","Men","ARG","Argentina","M","Gold"
"12345",12462,"Athens",2004,"Football","Football","football","GONZALEZ, Cristian","Men","ARG","Argentina","M","Gold"
"12346",12463,"Athens",2004,"Football","Football","football","GAMARRA, Carlos","Men","PAR","Paraguay","M","Silver"
"12347",12464,"Athens",2004,"Football","Football","football","SCURRY, Briana","Women","USA","United States","W","Gold"
"12348",12465,"Athens",2004,"Football","Football","football","FIGUEREDO, Diego","Men","PAR","Paraguay","M","Silver"
"12349",12466,"Athens",2004,"Football","Football","football","ALINE","Women","BRA","Brazil","W","Silver"
"12350",12467,"Athens",2004,"Football","Football","football","PRETINHA","Women","BRA","Brazil","W","Silver"
"12351",12468,"Athens",2004,"Football","Football","football","HAMM, Mia","Women","USA","United States","W","Gold"
"12352",12469,"Athens",2004,"Football","Football","football","BARZAGLI, Andrea","Men","ITA","Italy","M","Bronze"
"12353",12470,"Athens",2004,"Football","Football","football","RENATA COSTA, Costa","Women","BRA","Brazil","W","Silver"
"12354",12471,"Athens",2004,"Football","Football","football","REDDICK, Cat","Women","USA","United States","W","Gold"
"12355",12472,"Athens",2004,"Football","Football","football","MITTS, Heather","Women","USA","United States","W","Gold"
"12356",12473,"Athens",2004,"Football","Football","football","MARTINEZ, Emilio","Men","PAR","Paraguay","M","Silver"
"12357",12474,"Athens",2004,"Football","Football","football","HEINZE, Gabriel","Men","ARG","Argentina","M","Gold"
"12358",12475,"Athens",2004,"Football","Football","football","DE ROSSI, Daniele","Men","ITA","Italy","M","Bronze"
"12359",12476,"Athens",2004,"Football","Football","football","COLOCCINI, Fabricio","Men","ARG","Argentina","M","Gold"
"12360",12477,"Athens",2004,"Football","Football","football","CHASTAIN, Brandi","Women","USA","United States","W","Gold"
"12361",12478,"Athens",2004,"Football","Football","football","MARTA","Women","BRA","Brazil","W","Silver"
"12362",12479,"Athens",2004,"Football","Football","football","TORRES, Aureliano","Men","PAR","Paraguay","M","Silver"
"12363",12480,"Athens",2004,"Football","Football","football","RAMPONE, Christie","Women","USA","United States","W","Gold"
"12364",12481,"Athens",2004,"Football","Football","football","CRISTALDO, Ernesto","Men","PAR","Paraguay","M","Silver"
"12365",12482,"Athens",2004,"Football","Football","football","GUENTHER, Sarah","Women","GER","Germany","W","Bronze"
"12366",12483,"Athens",2004,"Football","Football","football","STEGEMANN, Kerstin","Women","GER","Germany","W","Bronze"
"12367",12484,"Athens",2004,"Football","Football","football","GILARDINO, Alberto","Men","ITA","Italy","M","Bronze"
"12368",12485,"Athens",2004,"Football","Football","football","ODEBRECHT, Viola","Women","GER","Germany","W","Bronze"
"12369",12486,"Athens",2004,"Football","Football","football","ANDREIA","Women","BRA","Brazil","W","Silver"
"12370",12487,"Athens",2004,"Football","Football","football","SCULLI, Giuseppe","Men","ITA","Italy","M","Bronze"
"12371",12488,"Athens",2004,"Football","Football","football","MARKGRAF, Kate","Women","USA","United States","W","Gold"
"12372",12489,"Athens",2004,"Football","Football","football","O REILLY, Heather","Women","USA","United States","W","Gold"
"12373",12490,"Athens",2004,"Football","Football","football","BONERA, Daniele","Men","ITA","Italy","M","Bronze"
"12374",12491,"Athens",2004,"Football","Football","football","BOVO, Cesare","Men","ITA","Italy","M","Bronze"
"12375",12492,"Athens",2004,"Football","Football","football","GRAZIELLE","Women","BRA","Brazil","W","Silver"
"12376",12493,"Athens",2004,"Football","Football","football","ROSANA","Women","BRA","Brazil","W","Silver"
"12377",12494,"Athens",2004,"Football","Football","football","JONES, Steffi","Women","GER","Germany","W","Bronze"
"12378",12495,"Athens",2004,"Football","Football","football","BARRETO, Edgar","Men","PAR","Paraguay","M","Silver"
"12379",12496,"Athens",2004,"Football","Football","football","DEVACA, Jose","Men","PAR","Paraguay","M","Silver"
"12380",12497,"Athens",2004,"Football","Football","football","FERRARI, Matteo","Men","ITA","Italy","M","Bronze"
"12381",12498,"Athens",2004,"Football","Football","football","MUELLER, Martina","Women","GER","Germany","W","Bronze"
"12382",12499,"Athens",2004,"Football","Football","football","LILLY, Kristine","Women","USA","United States","W","Gold"
"12383",12500,"Athens",2004,"Football","Football","football","D ALESSANDRO, Andres","Men","ARG","Argentina","M","Gold"
"12384",12501,"Athens",2004,"Football","Football","football","CHIELLINI, Giorgio","Men","ITA","Italy","M","Bronze"
"12385",12502,"Athens",2004,"Football","Football","football","ELAINE","Women","BRA","Brazil","W","Silver"
"12386",12503,"Athens",2004,"Football","Football","football","TANIA","Women","BRA","Brazil","W","Silver"
"12387",12504,"Athens",2004,"Football","Football","football","MANZUR, Julio","Men","PAR","Paraguay","M","Silver"
"12388",12505,"Athens",2004,"Football","Football","football","HUCLES, Angela","Women","USA","United States","W","Gold"
"12389",12506,"Athens",2004,"Football","Football","football","FUSS, Sonja","Women","GER","Germany","W","Bronze"
"12390",12507,"Athens",2004,"Football","Football","football","MONICA","Women","BRA","Brazil","W","Silver"
"12391",12508,"Athens",2004,"Gymnastics","Artistic G.","team competition","SOFRONIE, Nicoleta Daniela","Women","ROU","Romania","W","Gold"
"12392",12509,"Athens",2004,"Gymnastics","Artistic G.","team competition","ZAMOLODCHIKOVA, Elena","Women","RUS","Russia","W","Bronze"
"12393",12510,"Athens",2004,"Gymnastics","Artistic G.","team competition","WILSON, Blaine","Men","USA","United States","M","Silver"
"12394",12511,"Athens",2004,"Gymnastics","Artistic G.","rings","CHECHI, Juri","Men","ITA","Italy","M","Bronze"
"12395",12512,"Athens",2004,"Gymnastics","Artistic G.","rings","TAMPAKOS, Dimosthenis","Men","GRE","Greece","M","Gold"
"12396",12513,"Athens",2004,"Gymnastics","Artistic G.","vault","HATCH, Annia","Women","USA","United States","W","Silver"
"12397",12514,"Athens",2004,"Gymnastics","Artistic G.","floor exercises","SOFRONIE, Nicoleta Daniela","Women","ROU","Romania","W","Silver"
"12398",12515,"Athens",2004,"Gymnastics","Artistic G.","parallel bars","LI, Xiaopeng","Men","CHN","China","M","Bronze"
"12399",12516,"Athens",2004,"Gymnastics","Artistic G.","team competition","KUPETS, Courtney","Women","USA","United States","W","Silver"
"12400",12517,"Athens",2004,"Gymnastics","Artistic G.","team competition","YOUNG, Guard","Men","USA","United States","M","Silver"
"12401",12518,"Athens",2004,"Gymnastics","Artistic G.","floor exercises","DRAGULESCU, Marian","Men","ROU","Romania","M","Silver"
"12402",12519,"Athens",2004,"Gymnastics","Artistic G.","team competition","URZICA, Marius Daniel","Men","ROU","Romania","M","Bronze"
"12403",12520,"Athens",2004,"Gymnastics","Artistic G.","team competition","KHORKINA, Svetlana","Women","RUS","Russia","W","Bronze"
"12404",12521,"Athens",2004,"Gymnastics","Artistic G.","team competition","GATSON, Jason","Men","USA","United States","M","Silver"
"12405",12522,"Athens",2004,"Gymnastics","Artistic G.","team competition","NAKANO, Daisuke","Men","JPN","Japan","M","Gold"
"12406",12523,"Athens",2004,"Gymnastics","Artistic G.","team competition","PATTERSON, Carly","Women","USA","United States","W","Silver"
"12407",12524,"Athens",2004,"Gymnastics","Artistic G.","floor exercises","MORENO, Patricia","Women","ESP","Spain","W","Bronze"
"12408",12525,"Athens",2004,"Gymnastics","Artistic G.","vault","DRAGULESCU, Marian","Men","ROU","Romania","M","Bronze"
"12409",12526,"Athens",2004,"Gymnastics","Artistic G.","horizontal bar","CASSINA, Igor","Men","ITA","Italy","M","Gold"
"12410",12527,"Athens",2004,"Gymnastics","Artistic G.","horizontal bar","HAMM, Paul","Men","USA","United States","M","Silver"
"12411",12528,"Athens",2004,"Gymnastics","Artistic G.","floor exercises","PONOR, Catalina","Women","ROU","Romania","W","Gold"
"12412",12529,"Athens",2004,"Gymnastics","Artistic G.","team competition","MIZUTORI, Hisashi","Men","JPN","Japan","M","Gold"
"12413",12530,"Athens",2004,"Gymnastics","Artistic G.","balance beam","EREMIA, Alexandra Georgiana","Women","ROU","Romania","W","Bronze"
"12414",12531,"Athens",2004,"Gymnastics","Artistic G.","team competition","POTRA, Dan Nicolae","Men","ROU","Romania","M","Bronze"
"12415",12532,"Athens",2004,"Gymnastics","Artistic G.","team competition","ROSU, Monica","Women","ROU","Romania","W","Gold"
"12416",12533,"Athens",2004,"Gymnastics","Artistic G.","team competition","EZHOVA, Liudmila","Women","RUS","Russia","W","Bronze"
"12417",12534,"Athens",2004,"Gymnastics","Artistic G.","pommel horse","KASHIMA, Takehiro","Men","JPN","Japan","M","Bronze"
"12418",12535,"Athens",2004,"Gymnastics","Artistic G.","balance beam","PONOR, Catalina","Women","ROU","Romania","W","Gold"
"12419",12536,"Athens",2004,"Gymnastics","Artistic G.","vault","PAVLOVA, Anna","Women","RUS","Russia","W","Bronze"
"12420",12537,"Athens",2004,"Gymnastics","Artistic G.","pommel horse","TENG, Haibin","Men","CHN","China","M","Gold"
"12421",12538,"Athens",2004,"Gymnastics","Artistic G.","individual all-round","ZHANG, Nan","Women","CHN","China","W","Bronze"
"12422",12539,"Athens",2004,"Gymnastics","Artistic G.","team competition","KRIOUTCHKOVA, Maria","Women","RUS","Russia","W","Bronze"
"12423",12540,"Athens",2004,"Gymnastics","Artistic G.","individual all-round","KHORKINA, Svetlana","Women","RUS","Russia","W","Silver"
"12424",12541,"Athens",2004,"Gymnastics","Artistic G.","vault","DEFERR, Gervasio","Men","ESP","Spain","M","Gold"
"12425",12542,"Athens",2004,"Gymnastics","Artistic G.","team competition","HATCH, Annia","Women","USA","United States","W","Silver"
"12426",12543,"Athens",2004,"Gymnastics","Artistic G.","team competition","POPESCU, Daniel","Men","ROU","Romania","M","Bronze"
